Date,1. open,2. high,3. low,4. close,5. volume
2024-05-14,187.7900,188.3000,186.2900,187.4300,52331944
2024-05-13,185.4350,187.1000,184.6200,186.2800,72044809
2024-05-10,184.9000,185.0900,182.1300,183.0500,50759496
2024-05-09,182.5600,184.6600,182.1100,184.5700,48982972
2024-05-08,182.8500,183.0700,181.4500,182.7400,45057087
2024-05-07,183.4500,184.9000,181.3200,182.4000,77305771
2024-05-06,182.3540,184.2000,180.4200,181.7100,78569667
2024-05-03,186.6450,187.0000,182.6600,183.3800,163224109
2024-05-02,172.5100,173.4150,170.8900,173.0300,94214915
2024-05-01,169.5800,172.7050,169.1100,169.3000,50383147
2024-04-30,173.3300,174.9900,170.0000,170.3300,65934776
2024-04-29,173.3700,176.0300,173.1000,173.5000,68169419
2024-04-26,169.8800,171.3400,169.1800,169.3000,44838354
2024-04-25,169.5250,170.6100,168.1511,169.8900,50558329
2024-04-24,166.5400,169.3000,166.2100,169.0200,48251835
2024-04-23,165.3500,167.0500,164.9200,166.9000,49537761
2024-04-22,165.5150,167.2600,164.7700,165.8400,48116443
2024-04-19,166.2100,166.4000,164.0750,165.0000,68149377
2024-04-18,168.0300,168.6400,166.5500,167.0400,43122903
2024-04-17,169.6100,170.6500,168.0000,168.0000,50901210
2024-04-16,171.7500,173.7600,168.2700,169.3800,73711235
2024-04-15,175.3600,176.6300,172.5000,172.6900,73531773
2024-04-12,174.2600,178.3600,174.2100,176.5500,101670886
2024-04-11,168.3400,175.4600,168.1600,175.0400,91070275
2024-04-10,168.8000,169.0900,167.1100,167.7800,49709336
2024-04-09,168.7000,170.0800,168.3500,169.6700,42231444
2024-04-08,169.0300,169.2000,168.2400,168.4500,37216858
2024-04-05,169.5900,170.3900,168.9500,169.5800,41975776
2024-04-04,170.2900,171.9200,168.8200,168.8200,53355055
2024-04-03,168.7900,170.6800,168.5800,169.6500,45571129
2024-04-02,169.0800,169.3400,168.2302,168.8400,49013991
2024-04-01,171.1900,171.2500,169.4750,170.0300,43772506
2024-03-28,171.7500,172.2300,170.5100,171.4800,65672690
2024-03-27,170.4100,173.6000,170.1100,173.3100,60273265
2024-03-26,170.0000,171.4200,169.5800,169.7100,57388449
2024-03-25,170.5650,171.9400,169.4500,170.8500,54288328
2024-03-22,171.7600,173.0500,170.0600,172.2800,71160138
2024-03-21,177.0500,177.4900,170.8400,171.3700,106181270
2024-03-20,175.7200,178.6700,175.0900,178.6700,53423102
2024-03-19,174.3400,176.6050,173.0300,176.0800,55215244
2024-03-18,175.5700,177.7100,173.5200,173.7200,75604184
2024-03-15,171.1700,172.6200,170.2850,172.6200,121752699
2024-03-14,172.9100,174.3078,172.0500,173.0000,72571635
2024-03-13,172.7700,173.1850,170.7600,171.1300,51948951
2024-03-12,173.1500,174.0300,171.0100,173.2300,59544927
2024-03-11,172.9400,174.3800,172.0500,172.7500,58929918
2024-03-08,169.0000,173.7000,168.9400,170.7300,76267041
2024-03-07,169.1500,170.7300,168.4900,169.0000,71765061
2024-03-06,171.0600,171.2400,168.6800,169.1200,68587707
2024-03-05,170.7600,172.0400,169.6200,170.1200,95132355
2024-03-04,176.1500,176.9000,173.7900,175.1000,81510101
2024-03-01,179.5500,180.5300,177.3800,179.6600,73563082
2024-02-29,181.2700,182.5700,179.5300,180.7500,136682597
2024-02-28,182.5100,183.1200,180.1300,181.4200,48953939
2024-02-27,181.1000,183.9225,179.5600,182.6300,54318851
2024-02-26,182.2400,182.7600,180.6500,181.1600,40867421
2024-02-23,185.0100,185.0400,182.2300,182.5200,45119677
2024-02-22,183.4800,184.9550,182.4600,184.3700,52292208
2024-02-21,181.9400,182.8888,180.6600,182.3200,41529674
2024-02-20,181.7900,182.4300,180.0000,181.5600,53665553
2024-02-16,183.4200,184.8500,181.6650,182.3100,49752465
2024-02-15,183.5500,184.4900,181.3500,183.8600,65434496
2024-02-14,185.3200,185.5300,182.4400,184.1500,54630517
2024-02-13,185.7700,186.2100,183.5128,185.0400,56529529
2024-02-12,188.4150,188.6700,186.7900,187.1500,41781934
2024-02-09,188.6500,189.9900,188.0000,188.8500,45155216
2024-02-08,189.3850,189.5350,187.3500,188.3200,40962046
2024-02-07,190.6400,191.0500,188.6100,189.4100,53438955
2024-02-06,186.8600,189.3100,186.7695,189.3000,43490759
2024-02-05,188.1500,189.2500,185.8400,187.6800,69668820
2024-02-02,179.8600,187.3300,179.2500,185.8500,102551680
2024-02-01,183.9850,186.9500,183.8200,186.8600,64885408
2024-01-31,187.0400,187.0950,184.3500,184.4000,55467803
2024-01-30,190.9400,191.8000,187.4700,188.0400,55859370
2024-01-29,192.0100,192.2000,189.5800,191.7300,47145622
2024-01-26,194.2700,194.7600,191.9400,192.4200,44594011
2024-01-25,195.2200,196.2675,193.1125,194.1700,54822126
2024-01-24,195.4200,196.3800,194.3400,194.5000,53463269
2024-01-23,195.0200,195.7500,193.8299,195.1800,42355590
2024-01-22,192.3000,195.3300,192.2600,193.8900,60133852
2024-01-19,189.3300,191.9500,188.8200,191.5600,68902985
2024-01-18,186.0900,189.1400,185.8300,188.6300,78005754
2024-01-17,181.2700,182.9300,180.3000,182.6800,47317433
2024-01-16,182.1600,184.2600,180.9340,183.6300,65603041
2024-01-12,186.0600,186.7400,185.1900,185.9200,40477782
2024-01-11,186.5400,187.0500,183.6200,185.5900,49128408
2024-01-10,184.3500,186.4000,183.9200,186.1900,46792908
2024-01-09,183.9200,185.1500,182.7300,185.1400,42841809
2024-01-08,182.0850,185.6000,181.5000,185.5600,59144470
2024-01-05,181.9900,182.7600,180.1700,181.1800,62196924
2024-01-04,182.1500,183.0872,180.8800,181.9100,71983570
2024-01-03,184.2200,185.8800,183.4300,184.2500,58414460
2024-01-02,187.1500,188.4400,183.8850,185.6400,82488674
2023-12-29,193.9000,194.4000,191.7250,192.5300,42672148
2023-12-28,194.1400,194.6600,193.1700,193.5800,34049898
2023-12-27,192.4900,193.5000,191.0900,193.1500,47899806
2023-12-26,193.6100,193.8900,192.8300,193.0500,28919310
2023-12-22,195.1800,195.4100,192.9700,193.6000,37149570
2023-12-21,196.1000,197.0800,193.5000,194.6800,46482549
2023-12-20,196.9000,197.6800,194.8300,194.8300,52242815
