date,underlying,volume,open,high,low
07-26 11:54:22:198647,194.34,1,193.67,194.94,193.32
07-26 11:54:23:164711,194.34,1,193.67,194.94,193.32
07-26 11:54:24:180232,194.34,1,193.67,194.94,193.32
07-26 11:54:25:210360,194.34,1,193.67,194.94,193.32
07-26 11:54:26:178360,194.34,5,193.67,194.94,193.32
07-26 11:54:27:226522,194.34,1,193.67,194.94,193.32
07-26 11:54:28:225190,194.34,1,193.67,194.94,193.32
07-26 11:54:29:196560,194.34,1,193.67,194.94,193.32
07-26 11:54:30:201945,194.32,1,193.67,194.94,193.32
07-26 11:54:31:205968,194.3198,1,193.67,194.94,193.32
07-26 11:54:32:250638,194.3198,1,193.67,194.94,193.32
07-26 11:54:33:253560,194.29,1,193.67,194.94,193.32
07-26 11:54:34:263088,194.28,1,193.67,194.94,193.32
07-26 11:54:35:228691,194.28,3,193.67,194.94,193.32
07-26 11:54:36:257453,194.26,1,193.67,194.94,193.32
07-26 11:54:37:271085,194.265,10,193.67,194.94,193.32
07-26 11:54:38:569329,194.25,1,193.67,194.94,193.32
07-26 11:54:39:231498,194.249,1,193.67,194.94,193.32
07-26 11:54:40:318110,194.2445,3,193.67,194.94,193.32
07-26 11:54:41:257899,194.245,1,193.67,194.94,193.32
07-26 11:54:42:324634,194.2442,1,193.67,194.94,193.32
07-26 11:54:43:265607,194.245,3,193.67,194.94,193.32
07-26 11:54:44:262005,194.23,1,193.67,194.94,193.32
07-26 11:54:45:318425,194.23,1,193.67,194.94,193.32
07-26 11:54:46:342779,194.23,1,193.67,194.94,193.32
07-26 11:54:47:300121,194.23,1,193.67,194.94,193.32
07-26 11:54:48:328429,194.2364,3,193.67,194.94,193.32
07-26 11:54:49:361870,194.2364,3,193.67,194.94,193.32
07-26 11:54:50:294353,194.22,1,193.67,194.94,193.32
07-26 11:54:51:309384,194.225,2,193.67,194.94,193.32
07-26 11:54:52:304887,194.225,2,193.67,194.94,193.32
07-26 11:54:53:312858,194.225,1,193.67,194.94,193.32
07-26 11:54:54:307930,194.2189,7,193.67,194.94,193.32
07-26 11:54:55:316013,194.2189,7,193.67,194.94,193.32
07-26 11:54:56:331917,194.22,1,193.67,194.94,193.32
07-26 11:54:57:333629,194.22,1,193.67,194.94,193.32
07-26 11:54:58:345296,194.22,1,193.67,194.94,193.32
07-26 11:54:59:375650,194.215,1,193.67,194.94,193.32
07-26 11:55:00:393970,194.215,1,193.67,194.94,193.32
07-26 11:55:01:405486,194.215,1,193.67,194.94,193.32
07-26 11:55:02:363915,194.185,1,193.67,194.94,193.32
07-26 11:55:03:416798,194.1903,1,193.67,194.94,193.32
07-26 11:55:04:428135,194.1903,1,193.67,194.94,193.32
07-26 11:55:05:393253,194.2034,1,193.67,194.94,193.32
07-26 11:55:06:401576,194.2063,5,193.67,194.94,193.32
07-26 11:55:07:438084,194.205,2,193.67,194.94,193.32
07-26 11:55:08:403740,194.2,1,193.67,194.94,193.32
07-26 11:55:09:420285,194.2007,2,193.67,194.94,193.32
07-26 11:55:11:226570,194.2,1,193.67,194.94,193.32
07-26 11:55:11:421410,194.2028,1,193.67,194.94,193.32
07-26 11:55:12:428102,194.205,1,193.67,194.94,193.32
07-26 11:55:13:469393,194.205,1,193.67,194.94,193.32
07-26 11:55:14:476870,194.2,1,193.67,194.94,193.32
07-26 11:55:15:490332,194.2009,1,193.67,194.94,193.32
07-26 11:55:16:498296,194.2,1,193.67,194.94,193.32
07-26 11:55:17:499884,194.2,1,193.67,194.94,193.32
07-26 11:55:18:465908,194.2,1,193.67,194.94,193.32
07-26 11:55:19:508530,194.2,1,193.67,194.94,193.32
07-26 11:55:20:491018,194.2,1,193.67,194.94,193.32
07-26 11:55:21:480324,194.21,1,193.67,194.94,193.32
07-26 11:55:22:487846,194.205,1,193.67,194.94,193.32
07-26 11:55:23:486595,194.21,1,193.67,194.94,193.32
07-26 11:55:24:518359,194.205,1,193.67,194.94,193.32
07-26 11:55:25:538586,194.22,1,193.67,194.94,193.32
07-26 11:55:26:662357,194.23,1,193.67,194.94,193.32
07-26 11:55:27:518806,194.23,5,193.67,194.94,193.32
07-26 11:55:28:526453,194.2387,1,193.67,194.94,193.32
07-26 11:55:29:558589,194.24,1,193.67,194.94,193.32
07-26 11:55:30:540131,194.25,1,193.67,194.94,193.32
07-26 11:55:31:578128,194.25,1,193.67,194.94,193.32
07-26 11:55:32:586060,194.25,1,193.67,194.94,193.32
07-26 11:55:33:545934,194.2499,10,193.67,194.94,193.32
07-26 11:55:34:552386,194.26,1,193.67,194.94,193.32
07-26 11:55:35:585676,194.2655,4,193.67,194.94,193.32
07-26 11:55:36:549026,194.25,1,193.67,194.94,193.32
07-26 11:55:37:587577,194.24,1,193.67,194.94,193.32
07-26 11:55:38:573520,194.2504,1,193.67,194.94,193.32
07-26 11:55:39:570155,194.24,1,193.67,194.94,193.32
07-26 11:55:40:579285,194.24,1,193.67,194.94,193.32
07-26 11:55:41:593729,194.24,1,193.67,194.94,193.32
07-26 11:55:42:582266,194.225,10,193.67,194.94,193.32
07-26 11:55:43:588075,194.2255,1,193.67,194.94,193.32
07-26 11:55:44:595732,194.214,3,193.67,194.94,193.32
07-26 11:55:45:605326,194.214,3,193.67,194.94,193.32
07-26 11:55:46:655358,194.205,1,193.67,194.94,193.32
07-26 11:55:47:614046,194.2097,25,193.67,194.94,193.32
07-26 11:55:48:655146,194.2097,25,193.67,194.94,193.32
07-26 11:55:49:657546,194.21,3,193.67,194.94,193.32
07-26 11:55:50:665997,194.21,3,193.67,194.94,193.32
07-26 11:55:51:631910,194.21,3,193.67,194.94,193.32
07-26 11:55:52:635287,194.21,1,193.67,194.94,193.32
07-26 11:55:53:647894,194.205,1,193.67,194.94,193.32
07-26 11:55:54:673728,194.205,1,193.67,194.94,193.32
07-26 11:55:55:647988,194.205,5,193.67,194.94,193.32
07-26 11:55:56:681365,194.2087,1,193.67,194.94,193.32
07-26 11:55:57:649994,194.205,1,193.67,194.94,193.32
07-26 11:55:58:651635,194.205,1,193.67,194.94,193.32
07-26 11:55:59:701207,194.2,2,193.67,194.94,193.32
07-26 11:56:00:784393,194.2,1,193.67,194.94,193.32
07-26 11:56:01:682954,194.2,1,193.67,194.94,193.32
07-26 11:56:02:673910,194.2,1,193.67,194.94,193.32
07-26 11:56:03:684199,194.205,1,193.67,194.94,193.32
07-26 11:56:04:683679,194.205,1,193.67,194.94,193.32
07-26 11:56:05:697172,194.205,1,193.67,194.94,193.32
07-26 11:56:06:705592,194.202,1,193.67,194.94,193.32
07-26 11:56:07:694725,194.21,1,193.67,194.94,193.32
07-26 11:56:08:711776,194.21,1,193.67,194.94,193.32
07-26 11:56:09:720631,194.21,1,193.67,194.94,193.32
07-26 11:56:11:301388,194.21,2,193.67,194.94,193.32
07-26 11:56:11:724351,194.22,1,193.67,194.94,193.32
07-26 11:56:12:739903,194.22,1,193.67,194.94,193.32
07-26 11:56:13:776526,194.23,1,193.67,194.94,193.32
07-26 11:56:14:732032,194.23,1,193.67,194.94,193.32
07-26 11:56:15:784610,194.23,1,193.67,194.94,193.32
07-26 11:56:16:743469,194.23,1,193.67,194.94,193.32
07-26 11:56:17:804006,194.23,1,193.67,194.94,193.32
07-26 11:56:18:770477,194.23,1,193.67,194.94,193.32
07-26 11:56:19:771311,194.23,1,193.67,194.94,193.32
07-26 11:56:20:767506,194.2377,4,193.67,194.94,193.32
07-26 11:56:21:798893,194.23,1,193.67,194.94,193.32
07-26 11:56:22:933511,194.225,1,193.67,194.94,193.32
07-26 11:56:23:824451,194.225,1,193.67,194.94,193.32
07-26 11:56:24:880756,194.2201,5,193.67,194.94,193.32
07-26 11:56:25:826561,194.2201,5,193.67,194.94,193.32
07-26 11:56:26:994166,194.23,1,193.67,194.94,193.32
07-26 11:56:28:245387,194.23,1,193.67,194.94,193.32
07-26 11:56:29:382880,194.23,1,193.67,194.94,193.32
07-26 11:56:30:227670,194.23,1,193.67,194.94,193.32
07-26 11:56:30:836710,194.23,1,193.67,194.94,193.32
07-26 11:56:31:848076,194.24,1,193.67,194.94,193.32
07-26 11:56:33:455696,194.24,2,193.67,194.94,193.32
07-26 11:56:33:823285,194.23,3,193.67,194.94,193.32
07-26 11:56:34:858088,194.235,1,193.67,194.94,193.32
07-26 11:56:35:829231,194.24,1,193.67,194.94,193.32
07-26 11:56:36:836391,194.25,1,193.67,194.94,193.32
07-26 11:56:37:838918,194.25,1,193.67,194.94,193.32
07-26 11:56:38:910603,194.25,1,193.67,194.94,193.32
07-26 11:56:39:864389,194.2544,1,193.67,194.94,193.32
07-26 11:56:40:865034,194.26,1,193.67,194.94,193.32
07-26 11:56:42:200794,194.26,1,193.67,194.94,193.32
07-26 11:56:43:066616,194.27,1,193.67,194.94,193.32
07-26 11:56:43:872655,194.27,1,193.67,194.94,193.32
07-26 11:56:44:892343,194.27,1,193.67,194.94,193.32
07-26 11:56:45:888585,194.2657,25,193.67,194.94,193.32
07-26 11:56:46:907971,194.265,1,193.67,194.94,193.32
07-26 11:56:47:892953,194.27,1,193.67,194.94,193.32
07-26 11:56:48:894666,194.27,1,193.67,194.94,193.32
07-26 11:56:49:894246,194.25,1,193.67,194.94,193.32
07-26 11:56:50:903932,194.255,1,193.67,194.94,193.32
07-26 11:56:51:914156,194.25,1,193.67,194.94,193.32
07-26 11:56:52:913884,194.25,1,193.67,194.94,193.32
07-26 11:56:54:161302,194.255,2,193.67,194.94,193.32
07-26 11:56:55:140358,194.255,2,193.67,194.94,193.32
07-26 11:56:55:925306,194.255,2,193.67,194.94,193.32
07-26 11:56:56:933179,194.25,1,193.67,194.94,193.32
07-26 11:56:57:930555,194.241,2,193.67,194.94,193.32
07-26 11:56:58:940339,194.23,4,193.67,194.94,193.32
07-26 11:56:59:951714,194.2208,1,193.67,194.94,193.32
07-26 11:57:00:999003,194.22,1,193.67,194.94,193.32
07-26 11:57:01:959728,194.2099,1,193.67,194.94,193.32
07-26 11:57:02:977862,194.22,1,193.67,194.94,193.32
07-26 11:57:03:974607,194.2167,5,193.67,194.94,193.32
07-26 11:57:04:988114,194.2167,5,193.67,194.94,193.32
07-26 11:57:05:973908,194.2167,5,193.67,194.94,193.32
07-26 11:57:06:984820,194.22,1,193.67,194.94,193.32
07-26 11:57:07:981869,194.245,1,193.67,194.94,193.32
07-26 11:57:08:993865,194.27,1,193.67,194.94,193.32
07-26 11:57:09:986546,194.2691,1,193.67,194.94,193.32
07-26 11:57:11:026237,194.26,1,193.67,194.94,193.32
07-26 11:57:12:004631,194.27,1,193.67,194.94,193.32
07-26 11:57:13:040275,194.29,1,193.67,194.94,193.32
07-26 11:57:14:014598,194.2847,2,193.67,194.94,193.32
07-26 11:57:15:016594,194.285,2,193.67,194.94,193.32
07-26 11:57:16:025483,194.285,1,193.67,194.94,193.32
07-26 11:57:17:027918,194.29,1,193.67,194.94,193.32
07-26 11:57:18:036958,194.29,1,193.67,194.94,193.32
07-26 11:57:19:042811,194.285,20,193.67,194.94,193.32
07-26 11:57:20:041266,194.285,20,193.67,194.94,193.32
07-26 11:57:21:058727,194.29,1,193.67,194.94,193.32
07-26 11:57:22:042484,194.29,1,193.67,194.94,193.32
07-26 11:57:23:081403,194.3,1,193.67,194.94,193.32
07-26 11:57:24:047896,194.3,1,193.67,194.94,193.32
07-26 11:57:25:088970,194.32,1,193.67,194.94,193.32
07-26 11:57:26:059183,194.3033,4,193.67,194.94,193.32
07-26 11:57:27:053599,194.319,10,193.67,194.94,193.32
07-26 11:57:28:102162,194.32,13,193.67,194.94,193.32
07-26 11:57:29:107446,194.32,13,193.67,194.94,193.32
07-26 11:57:30:065099,194.34,1,193.67,194.94,193.32
07-26 11:57:31:114974,194.34,1,193.67,194.94,193.32
07-26 11:57:32:074602,194.33,1,193.67,194.94,193.32
07-26 11:57:33:098057,194.345,4,193.67,194.94,193.32
07-26 11:57:34:087471,194.36,1,193.67,194.94,193.32
07-26 11:57:35:089943,194.36,1,193.67,194.94,193.32
07-26 11:57:36:132889,194.36,1,193.67,194.94,193.32
07-26 11:57:37:120066,194.36,1,193.67,194.94,193.32
07-26 11:57:38:154451,194.37,3,193.67,194.94,193.32
07-26 11:57:39:155441,194.355,1,193.67,194.94,193.32
07-26 11:57:40:173116,194.36,2,193.67,194.94,193.32
07-26 11:57:41:118185,194.35,1,193.67,194.94,193.32
07-26 11:57:42:178516,194.35,1,193.67,194.94,193.32
07-26 11:57:43:139940,194.3406,2,193.67,194.94,193.32
07-26 11:57:44:189303,194.3406,2,193.67,194.94,193.32
07-26 11:57:45:191994,194.3401,1,193.67,194.94,193.32
07-26 11:57:46:216507,194.35,1,193.67,194.94,193.32
07-26 11:57:47:183441,194.35,3,193.67,194.94,193.32
07-26 11:57:48:174719,194.35,3,193.67,194.94,193.32
07-26 11:57:49:186709,194.35,3,193.67,194.94,193.32
07-26 11:57:50:201282,194.3499,30,193.67,194.94,193.32
07-26 11:57:51:236120,194.37,1,193.67,194.94,193.32
07-26 11:57:52:207656,194.37,5,193.67,194.94,193.32
07-26 11:57:53:217944,194.37,5,193.67,194.94,193.32
07-26 11:57:54:254028,194.37,2,193.67,194.94,193.32
07-26 11:57:55:223240,194.37,2,193.67,194.94,193.32
07-26 11:57:56:235017,194.37,2,193.67,194.94,193.32
07-26 11:57:57:240411,194.37,1,193.67,194.94,193.32
07-26 11:57:58:255363,194.3601,1,193.67,194.94,193.32
07-26 11:57:59:250991,194.38,1,193.67,194.94,193.32
07-26 11:58:00:292540,194.38,1,193.67,194.94,193.32
07-26 11:58:01:298140,194.4,1,193.67,194.94,193.32
07-26 11:58:02:304802,194.39,1,193.67,194.94,193.32
07-26 11:58:03:391186,194.39,1,193.67,194.94,193.32
07-26 11:58:04:279129,194.39,1,193.67,194.94,193.32
07-26 11:58:05:317123,194.39,1,193.67,194.94,193.32
07-26 11:58:06:297304,194.3801,1,193.67,194.94,193.32
07-26 11:58:07:350916,194.3801,1,193.67,194.94,193.32
07-26 11:58:08:342112,194.355,1,193.67,194.94,193.32
07-26 11:58:09:320273,194.35,13,193.67,194.94,193.32
07-26 11:58:10:349611,194.3526,1,193.67,194.94,193.32
07-26 11:58:11:341395,194.35,1,193.67,194.94,193.32
07-26 11:58:12:774566,194.335,1,193.67,194.94,193.32
07-26 11:58:13:376173,194.3308,1,193.67,194.94,193.32
07-26 11:58:14:341184,194.335,1,193.67,194.94,193.32
07-26 11:58:15:343935,194.325,1,193.67,194.94,193.32
07-26 11:58:16:348937,194.315,1,193.67,194.94,193.32
07-26 11:58:17:390952,194.32,11,193.67,194.94,193.32
07-26 11:58:18:405047,194.305,1,193.67,194.94,193.32
07-26 11:58:19:407250,194.305,1,193.67,194.94,193.32
07-26 11:58:20:405061,194.3,4,193.67,194.94,193.32
07-26 11:58:21:369351,194.28,1,193.67,194.94,193.32
07-26 11:58:22:424203,194.285,4,193.67,194.94,193.32
07-26 11:58:23:422692,194.2774,13,193.67,194.94,193.32
07-26 11:58:24:457391,194.28,5,193.67,194.94,193.32
07-26 11:58:25:395998,194.28,5,193.67,194.94,193.32
07-26 11:58:26:405190,194.275,1,193.67,194.94,193.32
07-26 11:58:27:398556,194.275,1,193.67,194.94,193.32
07-26 11:58:28:401144,194.28,1,193.67,194.94,193.32
07-26 11:58:29:411776,194.27,1,193.67,194.94,193.32
07-26 11:58:30:416876,194.27,1,193.67,194.94,193.32
07-26 11:58:31:429592,194.27,1,193.67,194.94,193.32
07-26 11:58:32:475363,194.27,1,193.67,194.94,193.32
07-26 11:58:33:434401,194.29,1,193.67,194.94,193.32
07-26 11:58:34:462492,194.29,1,193.67,194.94,193.32
07-26 11:58:35:481317,194.3,1,193.67,194.94,193.32
07-26 11:58:36:451343,194.3,1,193.67,194.94,193.32
07-26 11:58:37:456459,194.305,1,193.67,194.94,193.32
07-26 11:58:38:475761,194.3,1,193.67,194.94,193.32
07-26 11:58:39:505095,194.3,1,193.67,194.94,193.32
07-26 11:58:40:476816,194.32,1,193.67,194.94,193.32
07-26 11:58:41:479931,194.31,1,193.67,194.94,193.32
07-26 11:58:42:483150,194.31,1,193.67,194.94,193.32
07-26 11:58:43:564435,194.31,1,193.67,194.94,193.32
07-26 11:58:44:506629,194.33,1,193.67,194.94,193.32
07-26 11:58:45:512290,194.32,1,193.67,194.94,193.32
07-26 11:58:46:519531,194.3199,1,193.67,194.94,193.32
07-26 11:58:47:624458,194.32,1,193.67,194.94,193.32
07-26 11:58:48:526337,194.31,1,193.67,194.94,193.32
07-26 11:58:49:566627,194.31,1,193.67,194.94,193.32
07-26 11:58:50:545715,194.31,1,193.67,194.94,193.32
07-26 11:58:51:580328,194.31,1,193.67,194.94,193.32
07-26 11:58:52:587845,194.31,1,193.67,194.94,193.32
07-26 11:58:53:554579,194.31,1,193.67,194.94,193.32
07-26 11:58:54:562266,194.31,1,193.67,194.94,193.32
07-26 11:58:55:561514,194.3,1,193.67,194.94,193.32
07-26 11:58:56:584254,194.29,1,193.67,194.94,193.32
07-26 11:58:57:604622,194.2985,3,193.67,194.94,193.32
07-26 11:58:58:578127,194.31,1,193.67,194.94,193.32
07-26 11:58:59:632294,194.31,1,193.67,194.94,193.32
07-26 11:59:00:600521,194.32,1,193.67,194.94,193.32
07-26 11:59:01:598122,194.3273,2,193.67,194.94,193.32
07-26 11:59:02:637438,194.33,2,193.67,194.94,193.32
07-26 11:59:03:650593,194.34,1,193.67,194.94,193.32
07-26 11:59:04:661986,194.36,1,193.67,194.94,193.32
07-26 11:59:05:646993,194.36,1,193.67,194.94,193.32
07-26 11:59:06:612605,194.36,1,193.67,194.94,193.32
07-26 11:59:07:655093,194.37,1,193.67,194.94,193.32
07-26 11:59:08:635035,194.37,1,193.67,194.94,193.32
07-26 11:59:09:631480,194.36,1,193.67,194.94,193.32
07-26 11:59:10:680414,194.38,2,193.67,194.94,193.32
07-26 11:59:11:690878,194.3867,2,193.67,194.94,193.32
07-26 11:59:12:703474,194.3606,1,193.67,194.94,193.32
